ID COMERCIO,EMPRESA,DIRECCION,TELEFONOS,PROPIETARIO,ANTIGÜEDAD,MAYORISTA,MINORISTA,SERVICIOS,TIPO,FAMILIAR?,RUC,LATITUD,LONGITUD,RUBRO
635,NORMA PEÑA,SARMIENTO CASI PROFESOR CABRAL,972906307,MUJER,72,NO,NO,SÍ,MICRO,NO,2575371-1,-23.40692,-57.43824,BOLSAS DE PLASTICO
636,COMERCIAL SAN PEDRO,PROFESOR GUILLERMO CABRAL CASI DON BOSCO,971251457,HOMBRE,240,NO,SÍ,NO,MICRO,SÍ,1275185-5,-23.40717,-57.43875,PRENDAS - Ver. Ropas
637,COMERCIAL,ROMUALDO YRIGOYEN / TERCERA PROYECTADA,974922047,MUJER,24,NO,SÍ,NO,MICRO,SÍ,793256-1,-23.41739,-57.44599,ROPERIAS
638,NORTE PLAST,CALLE CABRAL,971932984,HOMBRE,60,SÍ,SÍ,NO,MICRO,NO,3748424-9,-23.40629,-57.43872,REMERAS - Ventas
639,COMERCIAL DANIEL,GUILLERMO CABRAL CASI DIN BOSCO,971143596,HOMBRE,24,NO,SÍ,NO,MICRO,SÍ,80006072-5,-23.40728,-57.43885,COMIDAS PARA LLEVAR
640,LITO REPUESTOS,CALLE CABRAL,331241115,HOMBRE,120,SÍ,SÍ,NO,MICRO,NO,1709170-5,-23.40612,-57.43888,MUEBLES - Compra/Venta
641,SERVÍ CEL,DON BOSCO Y DCREIBER,972452518,HOMBRE,96,NO,SÍ,NO,MICRO,SÍ,4570232-9,-23.40728,-57.43894,ELECTRODOMESTICOS
642,OSCAR,BERNARDINO CABALLERO,242702,HOMBRE,36,NO,SÍ,NO,MICRO,NO,0,-23.40924,-57.43661,CELULAR - Aparatos
643,HOTEL CONCEPCION,DON BOSCO ESQUINA COLOMBIA,0331 242506,HOMBRE,72,SÍ,NO,NO,MICRO,SÍ,0,-23.40759,-57.43856,TIENDAS
644,PANADERIA Y CONFITERIA EL CONDE ,CALLE PIRELLI CASI YTORORO,331241090,MUJER,360,SÍ,SÍ,NO,MICRO,SÍ,767741-3,-23.40609,-57.43657,DESPENSAS
