id,channel,name,authorized,description,department,city,frequency,source,link,lat,lon,agreement
ZPD848,224,"SAN COSME Y DAMIAN FM - ZPD848 - 92,7MHz",ASOCIACIÓN RADIO COMUNITARIA SAN COSME Y DAMIAN,"Departamento: Itapúa Localidad: San cosme y Damian Frecuencia: 92,7MHz P.E.R.: 50W",Itapúa,San cosme y Damian,"92,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-27.314722/-56.342222,-27.314722,-56.342222,"Sí, de acuerdo"
ZPD863,201,"SAN FRANCISCO DE ASIS FM - ZPD863 - 88,1MHz",ASOCIACIÓN RADIO COMUNITARIA SAN FRANCISCO DE ASIS,"Departamento: Alto Parana Localidad: Hernandarias Frecuencia: 88,1MHz P.E.R.: 50W",Alto Parana,Hernandarias,"88,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.399722/-54.641111,-25.399722,-54.641111,"Sí, de acuerdo"
ZPD813,205,"SAN ISIDRO LADO ESTE - ZPD813 - 88,9MHz",ASOCIACIÓN RADIO COMUNITARIA DE LA COLONIA SAN ISIDRO LADO ESTE DEL DISTRITO DE CURUGUATY,"Departamento: Canindeyu Localidad: Curuguaty Frecuencia: 88,9MHz P.E.R.: 50W",Canindeyu,Curuguaty,"88,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.480833/-55.674444,-24.480833,-55.674444,"Sí, de acuerdo"
ZPD784,241,"SAN JORGE FM - ZPD784 - 96,1MHz",ASOCIACIÓN DE MÚSICOS SANTA CECILIA,"Departamento: Caaguazú Localidad: J. Eulogio Estigarribia Frecuencia: 96,1MHz P.E.R.: 50W",Caaguazú,J. Eulogio Estigarribia,"96,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.369722/-55.696944,-25.369722,-55.696944,"Sí, de acuerdo"
ZPD844,200,"SAN JOSÉ OLERO FM - ZPD844 - 87,9MHz",ASOCIACIÓN DE OLEROS DE CONCEPCIÓN,"Departamento: Concepción Localidad: Colonia Candido Silva - Concepcion Frecuencia: 87,9MHz P.E.R.: 50W",Concepción,Colonia Candido Silva - Concepcion,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.439167/-57.356389,-23.439167,-57.356389,"Sí, de acuerdo"
ZPD809,221,"SAN LUÍS FM - ZPD809 - 92,1MHz",RADIO COMUNITARIA F.M. SAN LUÍS,"Departamento: Caaguazú Localidad: Dr. Juan Manuel Frutos Frecuencia: 92,1MHz P.E.R.: 50W",Caaguazú,Dr. Juan Manuel Frutos,"92,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.387778/-55.835556,-25.387778,-55.835556,"Sí, de acuerdo"
ZPD803,200,"SAN NICOLAS FM - ZPD803 - 87,9MHz",COOPERADORA RADIO COMUNITARIA SAN NICOLÁS FM,"Departamento: San Pedro Localidad: Yrybú Cuá Frecuencia: 87,9MHz P.E.R.: 50W",San Pedro,Yrybú Cuá,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.480556/-56.079722,-24.480556,-56.079722,"Sí, de acuerdo"
ZPC343,200,"SAN PEDRO FM - ZPC343 - 87,9MHz",ASOCIACIÓN SAN PEDRO COMUNICACIONES,"Departamento: Capital Localidad: Asunción Frecuencia: 87,9MHz P.E.R.: 50W",Capital,Asunción,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.297778/-57.622222,-25.297778,-57.622222,"Sí, de acuerdo"
ZPD872,221,"SAN ROQUE FM - ZPD872 - 92,1MHz",ASOCIACIÓN COMUNITARIA SAN ROQUE,"Departamento: Canindeyu Localidad: Yasy Cañy Frecuencia: 92,1MHz P.E.R.: 50W",Canindeyu,Yasy Cañy,"92,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.523889/-55.876111,-24.523889,-55.876111,"Sí, de acuerdo"
ZPD833,200,"SANBER FM - ZPD833 - 87,9MHz",FUNDACIÓN DE AYUDA AL DEPORTE,"Departamento: Cordillera Localidad: San Bernardino Frecuencia: 87,9MHz P.E.R.: 50W",Cordillera,San Bernardino,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.2925/-57.267778,-25.2925,-57.267778,"Sí, de acuerdo"
