id,channel,name,authorized,description,department,city,source,link,lat,lon,agreement,category
ZPC837,204,"CIELO DIGITAL - ZPC837 - 88,7MHz",ASOCIACIÓN CIELO,"Departamento: Alto Parana<br>Localidad: Ciudad del Este<br>Frecuencia: 88,7MHz<br>P.E.R.: 50W",Alto Parana,Ciudad del Este,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.532222/-54.6325,-25.532222,-54.6325,"SI, Acepto",Radios Comunitarias
ZPD758,269,"CLAM 3 - ZPD758 - 101,7MHz",ASOCIACIÓN RADIO COMUNITARIA CLAM 3,"Departamento: Central<br>Localidad: Villeta<br>Frecuencia: 101,7MHz<br>P.E.R.: 25W",Central,Villeta,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.503056/-57.559167,-25.503056,-57.559167,"SI, Acepto",Radios Comunitarias
ZPC663,243,"CODECO FM - ZPC663 - 96,5MHz",CONSEJO DE DESARROLLO COMUNITARIO (CODECO),"Departamento: Alto Parana<br>Localidad: Presidente Franco<br>Frecuencia: 96,5MHz<br>P.E.R.: 50W",Alto Parana,Presidente Franco,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.551667/-54.672222,-25.551667,-54.672222,"SI, Acepto",Radios Comunitarias
ZPC301,201,"COLONIA FM - ZPC301 - 88,1MHz",RADIO COMUNITARIA COLONIA FM,"Departamento: Paraguarí<br>Localidad: La Colmena<br>Frecuencia: 88,1MHz<br>P.E.R.: 50W",Paraguarí,La Colmena,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.883889/-56.837222,-25.883889,-56.837222,"SI, Acepto",Radios Comunitarias
ZPD640,228,"COMUNITARIA 29 DE AGOSTO - ZPD640 - 93,5MHz",ASOCIACIÓN BOBI POTRERITO POTY COMUNICACIÓN ALTERNATIVA,"Departamento: Central<br>Localidad: Ypané<br>Frecuencia: 93,5MHz<br>P.E.R.: 25W",Central,Ypané,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.483333/-57.474444,-25.483333,-57.474444,"SI, Acepto",Radios Comunitarias
ZPC777,266,"COMUNITARIA AMANECER FM - ZPC777 - 101,1MHz",RADIO COMUNITARIA AMANECER FM,"Departamento: Amambay<br>Localidad: Pedro Juan Caballero<br>Frecuencia: 101,1MHz<br>P.E.R.: 50W",Amambay,Pedro Juan Caballero,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-22.544167/-55.736944,-22.544167,-55.736944,"SI, Acepto",Radios Comunitarias
ZPD622,200,"COMUNITARIA FM PAÍS - ZPD622 - 87,9MHz",RADIO COMUNITARIA DEL BARRIO CENTENARIO DE LA CIUDAD DE CAAGUAZÚ FM PAÍS,"Departamento: Caaguazú<br>Localidad: Caaguazú<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Caaguazú,Caaguazú,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.468611/-56.013611,-25.468611,-56.013611,"SI, Acepto",Radios Comunitarias
ZPC493,280,"COMUNITARIA NATIVA - ZPC493 - 103,9MHz",RADIO COMUNITARIA FM NATIVA,"Departamento: Alto Paraguay<br>Localidad: Isla Margarita<br>Frecuencia: 103,9MHz<br>P.E.R.: 300W",Alto Paraguay,Isla Margarita,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-21.694167/-57.896944,-21.694167,-57.896944,"SI, Acepto",Radios Comunitarias
ZPD835,298,"COMUNITARIA SANTA ROSA FM - ZPD835 - 107,5MHz",ASOCIACIÓN RADIO COMUNITARIA SANTA ROSA,"Departamento: Misiones<br>Localidad: Santa Rosa<br>Frecuencia: 107,5MHz<br>P.E.R.: 50W",Misiones,Santa Rosa,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.888333/-56.848889,-26.888333,-56.848889,"SI, Acepto",Radios Comunitarias
ZPC490,219,"COMUNITARIA TAVAPY FM - ZPC490 - 91,7MHz",ASOCIACIÓN DE RADIO COMUNITARIA DE TAVAPY I (ARCORTA I),"Departamento: Alto Parana<br>Localidad: Santa Rosa del Monday<br>Frecuencia: 91,7MHz<br>P.E.R.: 50W",Alto Parana,Santa Rosa del Monday,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.660833/-54.993056,-25.660833,-54.993056,"SI, Acepto",Radios Comunitarias
